순번,관리기관명,소재지도로명주소,설치목적구분,카메라대수,우편번호,행정동명
335,관악구청,봉천로7길,다목적,2,8708,보라매동
336,관악구청,호암로18나길,다목적,5,8821,삼성동
337,관악구청,호암로16길,다목적,1,8821,삼성동
338,관악구청,"호암로528,농협하나로마트부근",다목적,4,NA,삼성동
339,관악구청,약수암길,다목적,4,8823,삼성동
340,관악구청,양지길,다목적,2,8846,삼성동
341,관악구청,쑥고개로2다길,다목적,5,8829,서림동
342,관악구청,남부순환로192길,다목적,1,8779,서원동
343,관악구청,신림로36길,다목적,5,8828,서림동
344,관악구청,신림로38길,다목적,5,8828,서림동
345,관악구청,복은12길,다목적,5,8834,서림동
346,관악구청,서원길,다목적,3,8844,서원동
347,관악구청,서원5길,다목적,1,8844,서원동
348,관악구청,문성로40길,다목적,4,8844,서원동
349,관악구청,신림로48길,다목적,3,8781,서원동
350,관악구청,구암길,다목적,3,8725,성현동
351,관악구청,관악로37길,다목적,1,8727,성현동
352,관악구청,은천로35바길,다목적,1,8728,성현동
353,관악구청,은천로35길,다목적,5,8728,성현동
354,관악구청,"성현로53,구암중학교부근",다목적,4,NA,성현동
355,관악구청,신림로71길,다목적,4,8707,신림동
356,관악구청,관천로24길,다목적,1,8706,신림동
357,관악구청,관천로11길,다목적,5,8762,신사동
358,관악구청,남부순환로151길,다목적,3,8762,신사동
359,관악구청,조원로31길,다목적,5,8704,신사동
360,관악구청,남부순환로161길,다목적,5,8763,신사동
361,관악구청,난곡로66가길,다목적,3,8761,신사동
362,관악구청,남부순환로149길,다목적,3,8761,신사동
363,관악구청,남부순환로166길,다목적,4,8773,신원동
364,관악구청,문성로32길,다목적,1,8843,신원동
365,관악구청,문성로38다길,다목적,3,8843,신원동
366,관악구청,문성로38길,다목적,1,8843,신원동
367,관악구청,국회단지13길,다목적,5,8713,은천동
368,관악구청,국회단지6길,다목적,3,8714,은천동
369,관악구청,국회단지5길,다목적,1,8713,은천동
370,관악구청,봉천로355,다목적,2,NA,은천동
371,관악구청,봉천로25길,다목적,1,8749,은천동
372,관악구청,은천로6,다목적,5,NA,은천동
373,관악구청,인헌9길,다목적,1,8795,인헌동
374,관악구청,인헌길,다목적,3,8793,인헌동
375,관악구청,인헌1나길,다목적,1,8795,인헌동
376,관악구청,인헌1길,다목적,1,8795,인헌동
377,관악구청,인헌16길,다목적,4,8797,인헌동
378,관악구청,낙성대역6길,다목적,5,8799,인헌동
379,관악구청,조원로6길,다목적,6,8769,조원동
380,관악구청,조원로4길,다목적,4,8769,조원동
381,관악구청,남부순환로145길,다목적,5,8767,조원동
382,관악구청,봉천로471-1,다목적,1,NA,중앙동
383,관악구청,중앙길,다목적,1,8743,중앙동
384,관악구청,봉천로41길,다목적,5,8748,중앙동
385,관악구청,장군봉2길,다목적,5,8782,청룡동
386,관악구청,남부순환로206길,다목적,1,8784,청룡동
387,관악구청,청룡9길,다목적,1,8831,청룡동
388,관악구청,청룡15길,다목적,1,8831,청룡동
389,관악구청,남부순환로210길,다목적,5,8785,청룡동
390,관악구청,청룡8길,다목적,4,8784,청룡동
391,관악구청,청림길,다목적,4,8732,청림동
392,관악구청,양녕로6길,다목적,4,8746,중앙동
393,관악구청,청림3라길,다목적,3,8731,청림동
394,관악구청,행운1라길,다목적,1,8736,행운동
395,관악구청,행운5길,다목적,1,8740,행운동
396,관악구청,행운길,다목적,1,8740,행운동
