"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"112","관악구청","연주대,삼성동","다목적",1,NA,"연주대,삼성동"
"113","관악구청","모자봉,대학동","다목적",1,NA,"모자봉,대학동"
"114","관악구청","삼성산,삼성동","다목적",1,NA,"삼성산,삼성동"
"115","관악구청","서울대,대학동","다목적",1,NA,"서울대,대학동"
"116","관악구청","쑥고개로3길","다목적",1,"08783","서원동"
"117","관악구청","성현동","다목적",1,NA,"성현동"
"118","관악구청","봉천로19길","다목적",1,"08720","보라매동"
"119","관악구청","대학동","다목적",1,NA,"대학동"
"120","관악구청","문성로16길","다목적",1,"08864","미성동"
"121","관악구청","청룡동","다목적",1,NA,"청룡동"
"122","관악구청","낙성대역3길","다목적",1,"08793","인헌동"
"123","관악구청","난곡동","다목적",1,NA,"난곡동"
"124","관악구청","미성동","다목적",1,NA,"미성동"
"125","관악구청","신림로3가길","다목적",1,"08814","대학동"
"126","관악구청","신림로3가길","다목적",1,"08814","대학동"
"127","관악구청","대학동","다목적",1,NA,"대학동"
"128","관악구청","대학동","다목적",1,NA,"대학동"
"129","관악구청","문성로120-5문성어린이공원1","다목적",1,NA,NA
"130","관악구청","난우12길","다목적",1,"08850","미성동"
"131","관악구청","난우10가길","다목적",1,"08850","미성동"
"132","관악구청","조원동","다목적",1,NA,"조원동"
"133","관악구청","행운동","다목적",1,NA,"행운동"
"134","관악구청","은천동","다목적",1,NA,"은천동"
"135","관악구청","삼성동","다목적",1,NA,"삼성동"
"136","관악구청","미성동","다목적",1,NA,"미성동"
"137","관악구청","미성동","다목적",1,NA,"미성동"
"138","관악구청","낙성대동","다목적",1,NA,"낙성대동"
"139","관악구청","대학동","다목적",1,NA,"대학동"
"140","관악구청","난향동","다목적",1,NA,"난향동"
"141","관악구청","삼성동","다목적",1,NA,"삼성동"
"142","관악구청","관악로14가길","다목적",1,"08789","낙성대동"
"143","관악구청","관악로14가길","다목적",1,"08789","낙성대동"
"144","관악구청","미성동","다목적",1,NA,"미성동"
"145","관악구청","난향동","다목적",1,NA,"난향동"
"146","관악구청","난향동","다목적",1,NA,"난향동"
"147","관악구청","낙성대동","다목적",1,NA,"낙성대동"
"148","관악구청","낙성대동","다목적",1,NA,"낙성대동"
"149","관악구청","봉천로23바길","다목적",1,"08718","보라매동"
"150","관악구청","호암로20길","다목적",1,"08820","대학동"
"151","관악구청","호암로20길","다목적",1,"08820","대학동"
"152","관악구청","쑥고개로26길","다목적",1,"08832","청룡동"
"153","관악구청","난곡로661-62","다목적",1,NA,NA
"154","관악구청","남부순환로260길","다목적",1,"08803","남현동"
"155","관악구청","남부순환로55-13(생태육교남쪽)","다목적",1,NA,NA
"156","관악구청","승방1길","다목적",1,"08808","남현동"
"157","관악구청","관악산나들길","다목적",1,"08825","대학동"
"158","관악구청","관악산나들길","다목적",1,"08825","대학동"
"159","관악구청","국사봉길","다목적",1,NA,NA
"160","관악구청","구암길","다목적",1,"08725","성현동"
"161","관악구청","성현로91(상도근린공원2)","다목적",1,NA,NA
"162","관악구청","남부순환로194길","다목적",1,"08779","서원동"
"163","관악구청","국회단지길","다목적",1,"08714","은천동"
"164","관악구청","인헌길","다목적",1,"08793","인헌동"
"165","관악구청","인헌길","다목적",1,"08793","인헌동"
"166","관악구청","성현로117(까치산근린공원)","다목적",1,NA,NA
"167","관악구청","장군봉길","다목적",1,"08782","청룡동"
"168","관악구청","장군봉5길","다목적",1,"08784","청룡동"
"169","관악구청","장군봉길","다목적",1,"08782","청룡동"
"170","관악구청","남부순환로216길","다목적",1,"08786","청룡동"
"171","관악구청","남부순환로247길","다목적",1,"08801","행운동"
"172","관악구청","남부순환로251길","다목적",1,"08802","행운동"
"173","관악구청","행운길","다목적",1,"08740","행운동"
"174","관악구청","솔밭로28(까치산근린공원4)","다목적",1,NA,NA
"175","관악구청","난향7길","다목적",1,"08859","난향동"
"176","관악구청","난곡로55(안전한산책로4)","다목적",1,NA,NA
"177","관악구청","난곡로55(안전한산책로5)","다목적",1,NA,NA
"178","관악구청","문성로16다길","다목적",1,"08863","서림동"
"179","관악구청","인헌16다길","다목적",1,"08800","인헌동"
"180","관악구청","장군봉길","다목적",1,"08782","청룡동"
"181","관악구청","낙성대로77(낙성대공원,반려견놀이터)","다목적",1,NA,NA
"182","관악구청","관악산나들길","다목적",1,"08825","대학동"
"183","관악구청","관악산나들길","다목적",1,"08825","대학동"
"184","관악구청","장군봉길","다목적",1,"08782","청룡동"
"185","관악구청","남현4길","다목적",1,"08805","남현동"
"186","관악구청","남부순환로156길","다목적",1,"08773","미성동"
"187","관악구청","문성로119(문성터널차량)","다목적",1,NA,NA
"188","관악구청","남부순환로152길","다목적",1,"08773","미성동"
"189","관악구청","원신9길","다목적",1,"08848","삼성동"
"190","관악구청","신원동","다목적",1,NA,"신원동"
"191","관악구청","보라매동","다목적",1,NA,"보라매동"
"192","관악구청","청룡동","다목적",1,NA,"청룡동"
"193","관악구청","호암로399","다목적",1,NA,NA
"194","관악구청","호암로399","다목적",1,NA,NA
"195","관악구청","신사동","다목적",1,NA,"신사동"
"196","관악구청","신사동","다목적",2,NA,"신사동"
"197","관악구청","삼성동","다목적",3,NA,"삼성동"
"198","관악구청","청룡동","다목적",3,NA,"청룡동"
"199","관악구청","난곡동","다목적",1,NA,"난곡동"
"200","관악구청","신사동","다목적",1,NA,"신사동"
